Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Support Vector Machine,0.7917555081734187,0.6401384083044983,0.4946524064171123,0.5580693815987934,0.7885526295354892
Random Forest,0.7896233120113717,0.6344827586206897,0.4919786096256685,0.5542168674698795,0.8139989957084653
Decision Tree,0.7306325515280739,0.493368700265252,0.49732620320855614,0.49533954727030627,0.6564546438129947
